place_overall,place_gender,sex,name,bib,division,half_split,finish
Place Overall,Place Gender,M,,BIB,Division,HALF,Finish
1,1,M,"Tura Abdiwak, Seifu (ETH)",3,20-24,01:02:29,02:06:12
2,2,M,"Rupp, Galen (USA)",9,35-39,01:02:40,02:06:35
3,3,M,"Kiptanui, Eric (KEN)",7,30-34,01:02:29,02:06:51
4,4,M,"Suzuki, Kengo (JPN)",5,25-29,01:02:30,02:08:50
5,5,M,"Tamru Aredo, Shifera (ETH)",6,20-24,01:02:29,02:09:39
6,6,M,"Mickow, Colin (USA)",15,30-34,01:06:11,02:13:31
7,7,M,"Montanez, Nico (USA)",22,25-29,01:06:11,02:13:55
8,8,M,"Kipyego, Reuben Kiprop (KEN)",2,25-29,01:02:29,02:14:24
9,9,M,"Fischer, Reed (USA)",30,25-29,01:07:17,02:14:41
10,10,M,"Given, Wilkerson (USA)",16,30-34,01:06:11,02:14:55
11,11,M,"Panning, Zachery (USA)",35,25-29,01:07:58,02:15:04
12,12,M,"Thomson, Jacob (USA)",37,25-29,01:06:51,02:15:49
13,13,M,"Young, Clayton (USA)",31,25-29,01:06:11,02:16:07
14,14,M,"Wiley, Turner (USA)",26,25-29,01:06:51,02:16:51
15,15,M,"Derrick, Chris (USA)",19,30-34,01:06:51,02:18:02
16,16,M,"Izewski, Josh (USA)",20,30-34,01:06:11,02:18:49
17,17,M,"Butler, Ian (USA)",12,30-34,01:06:11,02:20:01
18,18,M,"Phillips, Jonathan (USA)",620,25-29,01:09:08,02:20:11
19,19,M,"Havel, Kevin (USA)",515,30-34,01:08:56,02:20:40
20,20,M,"Sayenko, Mike (USA)",21,35-39,01:06:51,02:22:15
22,21,M,"Schneiderman, Benjamin (USA)",652,25-29,01:10:09,02:22:55
23,22,M,"Jermann, Tyler (USA)",18,25-29,01:07:18,02:23:21
24,23,M,"Neff, Calum (CAN)",594,35-39,01:10:12,02:23:47
25,24,M,"Ammons, Mitchell (USA)",402,30-34,01:10:14,02:23:56
27,25,M,"Beavin, Zack (USA)",415,25-29,01:12:09,02:24:29
28,26,M,"O'Gara, David (USA)",601,25-29,01:11:35,02:24:35
29,27,M,"Medina, Oscar (USA)",29,25-29,01:08:56,02:24:46
30,28,M,"Lustgarten, Brett (USA)",27,30-34,01:09:14,02:24:53
31,29,M,"Deso, Chalu (ETH)",38,20-24,01:02:29,02:24:56
32,30,M,"Remillard, Charles (USA)",634,25-29,01:09:30,02:25:05
33,31,M,"La Mere, Ian (USA)",34,25-29,01:08:49,02:25:09
34,32,M,"Diltz, Alexander (USA)",468,25-29,01:09:11,02:25:38
35,33,M,"Kendell, Ben (USA)",33,25-29,01:09:28,02:25:40
36,34,M,"O'Shea, Ronan (USA)",609,20-24,01:11:37,02:25:53
37,35,M,"Hensley, Matt (USA)",518,30-34,01:11:37,02:26:10
38,36,M,"Abdi, Abdisamed (USA)",32,25-29,01:07:59,02:26:54
39,37,M,"Parks, Jason (USA)",611,30-34,01:11:37,02:27:13
40,38,M,"Olberding, Scott (USA)",602,30-34,01:11:37,02:27:17
42,39,M,"Fyock, Chris (USA)",491,30-34,01:13:58,02:27:53
43,40,M,"Binzak, Johnny (USA)",420,25-29,01:10:26,02:28:08
44,41,M,"Ashe, Eric (USA)",408,30-34,01:11:37,02:28:18
46,42,M,"Chow, Hon Nip Hanniel (HKG)",2026,20-24,01:11:21,02:28:34
47,43,M,"Roeser, Kurt (USA)",28,30-34,01:09:34,02:28:35
48,44,M,"Weisenberger, Curtis (USA)",690,30-34,01:11:37,02:28:45
49,45,M,"Ross, Nick (USA)",641,30-34,01:10:29,02:28:56
51,46,M,"Fanta, Gizachew (ISR)",483,30-34,01:11:40,02:29:15
52,47,M,"Craighead, Daniel (USA)",455,30-34,01:10:44,02:29:21
53,48,M,"Martinez, Juan (COL)",1128,30-34,01:14:27,02:29:57
54,49,M,"Cowlin, Joe (USA)",713,25-29,01:13:59,02:30:12
55,50,M,"Williams, Nathanael (USA)",698,25-29,01:10:25,02:30:13
57,51,M,"Ornelas, Zachary (USA)",606,30-34,01:11:51,02:30:27
58,52,M,"McRae, Audie (USA)",7194,35-39,01:14:45,02:31:18
59,53,M,"Sedbrook, Cody (USA)",658,25-29,01:13:59,02:31:29
60,54,M,"Hillard, Matthew (USA)",520,30-34,01:13:59,02:31:30
61,55,M,"Liddell, John (USA)",9112,30-34,01:15:03,02:31:34
62,56,M,"Melly, David (USA)",575,25-29,01:12:02,02:31:43
64,57,M,"Tropf, Jordan (USA)",10149,25-29,01:13:46,02:31:54
65,58,M,"Goldberg, Alex (USA)",9163,25-29,01:14:38,02:32:01
66,59,M,"Hernandez Escalona, Ismain (MEX)",709,30-34,01:10:40,02:32:24
